seq,부서,세부사업,개별사업,통계목추정,매칭상태,점수,조서구분,DB부서,DB세부사업,bgt_dgr,te_bgt_compo_id,기존구분글자수,기존검토글자수,비고,구분초안,검토내용초안
"11","도로계획과","만덕~센텀 도시고속화도로 건설 (중기주요사업)","만덕~센텀 도시고속화도로 건설(401-01)","40101","EXACT","1","투자심사조서","도로계획과","만덕~센텀 도시고속화도로 건설","1","R1003984528","115","239","","· 위치(구간): 북구 만덕동(만덕대로) ~ 해운대구 재송동(수영강변대로) | · 사업규모: L=9,620m, B=4차로(왕복) | · 총사업비: 793,869백만원(공사 657,731, 보상 21,454, 기타 114,684) | ※ 재원부담: 국비 11.3%, 시비 14.6%, 민자 74.1% | · 사업기간: (계속) 2019년 ~ 2026년(8년간) | · 사업내용: 동·서부산권을 연결하는 내부순환도로망 구축 | · 2019년~2026, 도로계획과","○ 요구내용(사업설명서 기반 초안) | - 총사업비 증가에 따른 건설보조금 지원 | - 추경예산안(비교증감) | - 8,273 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"12","도로계획과","승학터널 민간투자사업 (중기주요사업)","승학터널 민간투자사업(401-01등)","40101","EXACT","1","투자심사조서","도로계획과","승학터널 민간투자사업","4","R1003984478","114","220","","· 위치(구간): 사상구 엄궁동(엄궁대교) ~ 중구 중앙동(충장대로) | · 사업규모: 도로개설 L=7.69km, B=4차로 | · 총사업비: 622,459백만원(공사 482,170, 보상 43,767, 기타 96,522) | ※ 재원부담: 국비 11.2%, 시비 20.5%, 민자 68.3% | · 사업기간: (계속) 2016년 ~ 2030년(15년간) | · 사업내용: 서부산권과 원도심을 직접 연결하는 간선도로망(동서3축) 구축 | · 2016년~2030, 도로계획과","○ 요구내용(사업설명서 기반 초안) | 시ߴ종점부 동시 시공 및 공사 적기 추진을 위한 엄궁동 지상부 우선 보상비 반영 | - 추경예산안 | - 15, | 000백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"13","도로안전과","주요 간선도로 정비 (중기주요사업)","시내 일원 광역시도 정비(401-01)","40101","EXACT","1.08","투자심사조서","도로안전과","주요 간선도로 정비","1","R1003974078","65","270","","· 위치(구간): 시역 내 광역시도 | · 사업규모: 광역시도 140개 노선 L=877㎞ 정비 | · 총사업비: 41,380백만원(공사 41,380) | ※ 재원부담 : 시비 100% | · 사업기간 : (계속) 2012년 이후 ~ | · 사업내용 : 광역시도 관리업무가 구․군에 위임되어 있어 재정여건상 즉시 보수곤란으로 광역시도에 대한 신속한 정비를 위한 사업비 확보 | 도로안전과","○ 요구내용(사업설명서 기반 초안) | - 구․군에 관리 위임된 광역시도 중 잦은 호우 등 기상이변으로 인한 | 도로파손 등 정비물량 증가와 하반기 태풍, 호우 피해 복구예산 등 | 도로정비 예산 부족에 따른 편성 | 도로유지관리 사업비를 확보하여 도로 파손 시 즉시 보수 시행함으로써 도로기능 | 최적화로 시민불편해소 및 교통편익 제공 | - 편성내용 | - 추경예산안 : 2,000백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"14","도로안전과","기타 반환","웅동․지사터널 관리위탁운영 분담금 집행잔액(802-03)","80203","UNMATCHED","0","경상심사조서","","","","","0","0","","· 사업기간 : (계속) 2018년 ~ | · 사업내용 | 도로안전과","○ 추진상황 | - ’26.10. 분담금 잔액 반환(창원시, 김해시) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"15","토지정보과","부산 디지털 트윈 시범구역 조성(국가직접지원) (중기주요사업)","부산 디지털 트윈 시범구역 조성사업(403-02)","40302","EXACT","0.92","투자심사조서","토지정보과","부산 디지털 트윈 시범구역 조성(국가직접지원)","1","R1002659244","117","225","","· 위치(구간) : 부산광역시 전 지역(770㎢) | · 사업규모 : 부산 통합 플랫폼 구축, 건물 및 DEM 3차원 데이터 구축, | · 총사업비 : 12,143백만원 | ※ 재원부담 : [26년] 국비(국가직접) 950백만원 / 시비 190백만원 / 민간(기타) 249백만원 | · 사업기간 : (계속) 2024년 ~ 2026년(3년간) | · 사업내용: 도시 데이터 기반 통합플랫폼 구축 및 관련 서비스 개발·집약 | · 사업성과: 데이터 융․복합 시뮬레이션을 통한 도시계획 및 운영, 미래 최적 대안 마련 등으로 도시 문제 및 현안 해결 지원 | · 2024년~2026, 토지정보과","○ 요구내용(사업설명서 기반 초안) | - 국비 감액에 따른 지방비 감액 | ※ 총사업비 변경: 940백만원 → 190백만원[시비] (△750백만원) | * 변경사유: | 국비 감액(4,700백만원 → 950백만원, △3,750백만원)에 따른 지방 | 매칭비 감액 | - 추경예산안(비교증감) | 추경예산안: △750백만원(시비) | 국가직접지원 △3,750백만원, 기타 △871백만원 별도 | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"16","건설안전시험사업소","도로시설물(교량 등) 보수보강 (중기주요사업)","대동화명대교 계측시스템 재구축(401-01)","40101","EXACT","1.08","투자심사조서","건설안전시험사업소","도로시설물(교량 등) 보수보강","1","R1003950344","115","182","","· 위치(구간): 부산광역시 북구 화명동 일원 | · 사업규모: 지진 및 일반계측시스템 재구축 1식 | · 총사업비: 1,000백만원(공사 1,000) | ※ 재원부담: 시비 100% | · 사업기간: (신규) 2026년~2027년 | · 사업내용: 내구연한 초과한 노후 계측시스템 재구축 | · 2026년~2027, 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | - 내구연한 초과한 노후 계측시스템 재구축하여 정확도 및 안정성 제고 | - 추경예산안(비교증감) | - 1,000 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"17","건설안전시험사업소","도로시설물(교량 등) 보수보강 (중기주요사업)","감전유수지지류 복개구조물 보수공사(401-01)","40101","EXACT","1.08","투자심사조서","건설안전시험사업소","도로시설물(교량 등) 보수보강","1","R1003950344","115","182","","· 위치(구간): 부산광역시 사상구 괘법동 572-1 일원 | · 사업규모: 표면처리(탄산화방지) A=170㎡ 등 | · 총사업비: 70백만원(공사 70) | ※ 재원부담: 시비 100% | · 사업기간: (신규) 2026년 | · 사업내용: ‘25년 정밀안전점검 결과에 따른 시설물 보수・보강 | · 사업성과: 구조물의 안전성 제고 | 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | ‘25년 정밀안전점검 결과에 따른 시설물 보수・보강으로 구조물의 안전성 제고 필요 | - 추경예산안(비교증감) | - 70 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"18","건설안전시험사업소","도로시설물(교량 등) 보수보강 (중기주요사업)","구포대교 보수공사(401-01)","40101","EXACT","1.08","투자심사조서","건설안전시험사업소","도로시설물(교량 등) 보수보강","1","R1003950344","115","182","","· 위치(구간): 강서구 대저동~북구 구포동 일원 | · 사업규모: 교면포장 A=468a | · 총사업비: 4,400백만원(공사 4,400) | ※ 재원부담: 시비 100% | · 사업기간: (계속) 2023년 ~ 2027년(5년간) | · 사업내용: ‘ | · 사업성과: 차량통행 안전도모 및 시설물의 기능유지, 안전성 확보 | · 2023년~2027, 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | - 상반기 중동상황 관련 아스콘 수급 불안전에 따른 자재비 상승분 반영 | - 추경예산안(증 400백만원) | - 400 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"19","건설안전시험사업소","도로시설물(교량 등) 보수보강 (중기주요사업)","부산대교 보수공사(401-01)","40101","EXACT","1.08","투자심사조서","건설안전시험사업소","도로시설물(교량 등) 보수보강","1","R1003950344","115","182","","· 위치(구간): 부산광역시 해운대구 중구 중앙동7가 83 일원 | · 사업규모: 표면처리(탄산화방지) A=1,660㎡ | · 총사업비: 200백만원(공사 200) | ※ 재원부담: 시비 100% | · 사업기간: (신규) 2026년 | · 사업내용: ‘25년 정밀안전점검 결과에 따른 시설물 보수・보강 | · 사업성과: 구조물의 안전성 제고 | 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | ‘25년 정밀안전점검 에 따른 시설물 보수・보강으로 구조물의 안전성 제고 필요 | - 추경예산안(비교증감) | - 200 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"20","건설안전시험사업소","도로시설물(교량 등) 보수보강 (중기주요사업)","호계천1복개구조물 보수공사(401-01)","40101","EXACT","1.08","투자심사조서","건설안전시험사업소","도로시설물(교량 등) 보수보강","1","R1003950344","115","182","","· 위치(구간): 부산광역시 동구 범일동 62-712 일원 | · 사업규모: 표면처리(탄산화방지) A=1,130㎡ | · 총사업비: 90백만원(공사 90) | ※ 재원부담: 시비 100% | · 사업기간: (신규) 2026년 | · 사업내용: ‘25년 정밀안전점검 결과에 따른 시설물 보수・보강 | · 사업성과: 구조물의 안전성 제고 | 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | ‘25년 정밀안전점검 결과에 따른 시설물 보수・보강으로 구조물의 안전성 제고 필요 | - 추경예산안(비교증감) | - 90 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"21","건설안전시험사업소","도로시설물(교량 등) 보수보강 (중기주요사업)","반여고가교 보수공사(401-01)","40101","EXACT","1.08","투자심사조서","건설안전시험사업소","도로시설물(교량 등) 보수보강","1","R1003950344","115","182","","· 위치(구간): 부산광역시 해운대구 재송동 1291 일원 | · 사업규모: 교량시설물 정비 1식 | · 총사업비: 150백만원(공사 150) | ※ 재원부담: 시비 100% | · 사업기간: (신규) 2026년 | · 사업내용: ‘25년 정밀안전진단 결과에 따른 시설물 보수・보강 | · 사업성과: 구조물의 안전성 제고 | 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | ‘25년 정밀안전진단 결과에 따른 시설물 보수・보강으로 구조물의 안전성 제고 필요 | - 추경예산안(비교증감) | - 150 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"22","건설안전시험사업소","도로시설물(교량 등) 보수보강 (중기주요사업)","우암고가교 보수공사(401-01)","40101","EXACT","1.08","투자심사조서","건설안전시험사업소","도로시설물(교량 등) 보수보강","1","R1003950344","115","182","","· 위치(구간): 부산광역시 남구 우암동 265-2 일원 | · 사업규모: 교량시설물 정비 1식 | · 총사업비: 110백만원(공사 110) | ※ 재원부담: 시비 100% | · 사업기간: (신규) 2026년 | · 사업내용: ‘26년 정밀안전점검 결과에 따른 시설물 보수・보강 | · 사업성과: 구조물의 안전성 제고 | 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | ※주요 증감사유 위주 기재) | ‘26년 정밀안전점검 결과에 따른 시설물 보수・보강으로 구조물의 안전성 제고 필요 | - 추경예산안(비교증감) | - 110 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"23","건설안전시험사업소","도로시설물(교량 등) 보수보강 (중기주요사업)","우동고가교 보수공사(401-01)","40101","EXACT","1.08","투자심사조서","건설안전시험사업소","도로시설물(교량 등) 보수보강","1","R1003950344","115","182","","· 위치(구간): 부산광역시 해운대구 우동 1102-140 일원 | · 사업규모: 표면처리(탄산화방지) A=1,375㎡, 신축이음 보수 L=200m, | · 총사업비: 500백만원(공사 500) | ※ 재원부담: 시비 100% | · 사업기간: (신규) 2026년 | · 사업내용: ‘26년 정밀안전진단 결과에 따른 시설물 보수・보강 | · 사업성과: 구조물의 안전성 제고 | 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | ‘26년 정밀안전진단 결과에 따른 시설물 보수・보강으로 구조물의 안전성 제고 필요 | - 추경예산안(비교증감) | - 500 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"24","건설안전시험사업소","도로시설물(교량 등) 보수보강 (중기주요사업)","부두순환교 보수공사(401-01)","40101","EXACT","1.08","투자심사조서","건설안전시험사업소","도로시설물(교량 등) 보수보강","1","R1003950344","115","182","","· 위치(구간): 부산광역시 동구 범일동 1202-1 | · 사업내용: ‘26년 정밀안전점검 결과에 따른 시설물 보수・보강 | · 사업성과: 구조물의 안전성 제고 | 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | ‘26년 정밀안전점검 결과에 따른 시설물 보수・보강으로 구조물의 안전성 제고 필요 | - 추경예산안(비교증감) | - 300 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"25","건설안전시험사업소","도로시설물(교량 등) 보수보강 (중기주요사업)","충장고가교 보수공사(401-01)","40101","EXACT","1.08","투자심사조서","건설안전시험사업소","도로시설물(교량 등) 보수보강","1","R1003950344","115","182","","· 위치(구간): 부산광역시 동구 좌천동 1166-10 | · 사업내용: ‘26년 정밀안전점검 결과에 따른 시설물 보수・보강 | · 사업성과: 구조물의 안전성 제고 | 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | ‘26년 정밀안전점검 결과에 따른 시설물 보수・보강으로 구조물의 안전성 제고 필요 | - 추경예산안(비교증감) | - 180 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"26","건설안전시험사업소","도로시설물(교량 등) 보수보강 (중기주요사업)","우암고가차도접속교 하행선 보수공사(401-01)","40101","EXACT","1.08","투자심사조서","건설안전시험사업소","도로시설물(교량 등) 보수보강","1","R1003950344","115","182","","· 위치(구간): 부산광역시 남구 우암동 243 일원 | · 사업규모: 교량시설물 정비 1식 | · 총사업비: 130백만원(공사 130) | ※ 재원부담: 시비 100% | · 사업기간: (신규) 2026년 | · 사업내용: ‘25년 정밀안전진단 결과에 따른 시설물 보수・보강 | · 사업성과: 구조물의 안전성 제고 | 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | ‘25년 정밀안전진단 결과에 따른 시설물 보수・보강으로 구조물의 안전성 제고 필요 | - 추경예산안(비교증감) | - 130 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"27","건설안전시험사업소","도로시설물(교량 등) 보수보강 (중기주요사업)","좌수영교 보수공사(401-01)","40101","EXACT","1.08","투자심사조서","건설안전시험사업소","도로시설물(교량 등) 보수보강","1","R1003950344","115","182","","· 위치(구간): 부산광역시 수영구 망미동 185-3 일원 | · 사업규모: 교량시설물 정비 1식 | · 총사업비: 150백만원(공사 150) | ※ 재원부담: 시비 100% | · 사업기간: (신규) 2026년 | · 사업내용: ‘24년 정밀안전진단 결과에 따른 시설물 보수・보강 | · 사업성과: 구조물의 안전성 제고 | 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | ‘24년 정밀안전진단 결과에 따른 시설물 보수・보강으로 구조물의 안전성 제고 필요 | - 추경예산안(비교증감) | - 150 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
"28","건설안전시험사업소","시내일원 포장도로 정비 (중기주요사업)","시내일원 포장도로 정비(401-01/401-03)","40101","EXACT","1","투자심사조서","건설안전시험사업소","시내일원 포장도로 정비","1","L0000000081","100","194","","· 위치(구간): 포장도로 폭25m이상, 연장 764㎞ | · 총사업비: 25,000 | ※ 재원부담: 시비 100% | · 사업기간: (계속) 2026년 | · 사업성과: 우리시 노후·파손도로 적기 보수로 차량 및 보행안전사고로부터 | 건설안전시험사업소","○ 요구내용(사업설명서 기반 초안) | - ‘26.초 중동전쟁으로 아스팔트 포장 재료(아스콘)비 인상(약42%) | 공사비가 증액되어 추경예산 필요 | ※아스팔트 재료비 인상 : (당초 ’26.1.) 98,960원/톤 → (변경 ‘26.4.) 140,480원/톤 | - 편성내용 | - 예산안 : 2,000 | 백만원(시비) | ◈ 검토의견 | - (심사자 작성) 사업설명서 대비 요구 타당성·재원·시기 검토 후 기재"
